Astro	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	units	units_conversion	name	description	measurement_type	parameter_keyword	type	quantity	qualifier	instrument_id_000	instrument_id_001	coordinate_system_name	coordinate_representation	element__name_0	element__name_1	element__name_2	element__name_3
Astro	CDF_REAL8	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fvar3_plasma	(/cm2-s-sr-keV)^2		Flux Variance, Hi Energy Channel 3 ~1.11 keV	---&gt; Above as X/Y image		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Cnts3			Total Counts, Hi Energy Channel 3 ~1.11 keV	Total Counts, Hi Energy Channel 3 ~1.11 keV - mapped		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Cnts3_plasma			Total Counts, Hi Energy Channel 3 ~1.11 keV	---&gt; Above as X/Y image		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fexp3	s		Total Exposure Time, Hi Energy Channel 3 ~1.11 keV	Total Exposure Time, Hi Energy Channel 3 ~1.11 keV - mapped		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fexp3_plasma	s		Total Exposure Time, Hi Energy Channel 3 ~1.11 keV	---&gt; Above as X/Y image		data											
Astro	CDF_REAL8	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Numb3	# / pixel		Samples per pixel, Hi Energy Channel 3 ~1.11 keV	Samples per pixel, Hi Energy Channel 3 ~1.11 keV - mapped		data											
Astro	CDF_REAL8	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Numb3_plasma	# / pixel		Samples per pixel, Hi Energy Channel 3 ~1.11 keV	---&gt; Above as X/Y image		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Ener4	keV		Hi Energy Channel 4 ~1.74 keV	Hi Energy Channel 4 ~1.74 keV - mapped		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Ener4_plasma	keV		Hi Energy Channel 4 ~1.74 keV	---&gt; Above as X/Y image		data											
Astro	CDF_REAL8	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Flux4	ENAs/(cm2 s sr keV)		Differential Flux, Hi Energy Channel 4 ~1.74 keV	Differential Flux, Hi Energy Channel 4 ~1.74 keV - mapped		data											
Astro	CDF_REAL8	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Flux4_plasma	ENAs/(cm2 s sr keV)		Differential Flux, Hi Energy Channel 4 ~1.74 keV	---&gt; Above as X/Y image		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fsnr4			Signal/Noise Ratio, Hi Energy Channel 4 ~1.74 keV	Signal/Noise Ratio, Hi Energy Channel 4 ~1.74 keV - mapped		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fsnr4_plasma			Signal/Noise Ratio, Hi Energy Channel 4 ~1.74 keV	---&gt; Above as X/Y image		data											
Astro	CDF_REAL8	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fvar4	(/cm2-s-sr-keV)^2		Flux Variance, Hi Energy Channel 4 ~1.74 keV	Flux Variance, Hi Energy Channel 4 ~1.74 keV - mapped		data											
Astro	CDF_REAL8	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fvar4_plasma	(/cm2-s-sr-keV)^2		Flux Variance, Hi Energy Channel 4 ~1.74 keV	---&gt; Above as X/Y image		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Cnts4			Total Counts, Hi Energy Channel 4 ~1.74 keV	Total Counts, Hi Energy Channel 4 ~1.74 keV - mapped		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Cnts4_plasma			Total Counts, Hi Energy Channel 4 ~1.74 keV	---&gt; Above as X/Y image		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fexp4	s		Total Exposure Time, Hi Energy Channel 4 ~1.74 keV	Total Exposure Time, Hi Energy Channel 4 ~1.74 keV - mapped		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fexp4_plasma	s		Total Exposure Time, Hi Energy Channel 4 ~1.74 keV	---&gt; Above as X/Y image		data											
Astro	CDF_REAL8	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Numb4	# / pixel		Samples per pixel, Hi Energy Channel 4 ~1.74 keV	Samples per pixel, Hi Energy Channel 4 ~1.74 keV - mapped		data											
Astro	CDF_REAL8	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Numb4_plasma	# / pixel		Samples per pixel, Hi Energy Channel 4 ~1.74 keV	---&gt; Above as X/Y image		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Ener5	keV		Hi Energy Channel 5 ~2.73 keV	Hi Energy Channel 5 ~2.73 keV - mapped		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Ener5_plasma	keV		Hi Energy Channel 5 ~2.73 keV	---&gt; Above as X/Y image		data											
Astro	CDF_REAL8	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Flux5	ENAs/(cm2 s sr keV)		Differential Flux, Hi Energy Channel 5 ~2.73 keV	Differential Flux, Hi Energy Channel 5 ~2.73 keV - mapped		data											
Astro	CDF_REAL8	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Flux5_plasma	ENAs/(cm2 s sr keV)		Differential Flux, Hi Energy Channel 5 ~2.73 keV	---&gt; Above as X/Y image		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fsnr5			Signal/Noise Ratio, Hi Energy Channel 5 ~2.73 keV	Signal/Noise Ratio, Hi Energy Channel 5 ~2.73 keV - mapped		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fsnr5_plasma			Signal/Noise Ratio, Hi Energy Channel 5 ~2.73 keV	---&gt; Above as X/Y image		data											
Astro	CDF_REAL8	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fvar5	(/cm2-s-sr-keV)^2		Flux Variance, Hi Energy Channel 5 ~2.73 keV	Flux Variance, Hi Energy Channel 5 ~2.73 keV - mapped		data											
Astro	CDF_REAL8	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fvar5_plasma	(/cm2-s-sr-keV)^2		Flux Variance, Hi Energy Channel 5 ~2.73 keV	---&gt; Above as X/Y image		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fexp5	s		Total Exposure Time, Hi Energy Channel 5 ~2.73 keV	Total Exposure Time, Hi Energy Channel 5 ~2.73 keV - mapped		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fexp5_plasma	s		Total Exposure Time, Hi Energy Channel 5 ~2.73 keV	---&gt; Above as X/Y image		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Cnts5			Total Counts, Hi Energy Channel 5 ~2.73 keV	Total Counts, Hi Energy Channel 5 ~2.73 keV - mapped		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Cnts5_plasma			Total Counts, Hi Energy Channel 5 ~2.73 keV	---&gt; Above as X/Y image		data											
Astro	CDF_REAL8	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Numb5	# / pixel		Samples per pixel, Hi Energy Channel 5 ~2.73 keV	Samples per pixel, Hi Energy Channel 5 ~2.73 keV - mapped		data											
Astro	CDF_REAL8	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Numb5_plasma	# / pixel		Samples per pixel, Hi Energy Channel 5 ~2.73 keV	---&gt; Above as X/Y image		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Ener6	keV		Hi Energy Channel 6 ~4.29 keV	Hi Energy Channel 6 ~4.29 keV - mapped		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Ener6_plasma	keV		Hi Energy Channel 6 ~4.29 keV	---&gt; Above as X/Y image		data											
